"Title","Company","Location","PostingDate","JobLink"
"Data Analyst","McAfee","San Jose, CA","2 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-at-mcafee-4102473051?position=1&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=FNfTRUuKBqFw6nhaD9op%2BA%3D%3D"
"Data Analyst, New Grad","Stripe","Chicago, IL","2 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-new-grad-at-stripe-4107169341?position=2&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=adaJLz8cg%2BhTfdp4kNcJzQ%3D%3D"
"Data Analyst","The Walt Disney Company","Santa Monica, CA","2 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-4106726759?position=3&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=H%2Fh9I4dajx8NB17g7t0ESQ%3D%3D"
"Data Analyst","Coinbase","United States","3 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-at-coinbase-4097009239?position=4&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=jb9EPCnqvjnxqdxZZn4i3w%3D%3D"
"Data Analyst","ThirdLove","San Francisco Bay Area","3 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-at-thirdlove-4098608177?position=5&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=NyiIAG8JMwxwPMTKp8WmiA%3D%3D"
"Associate Data Analyst","Electronic Arts (EA)","Orlando, FL","1 week ago","https://www.linkedin.com/jobs/view/associate-data-analyst-at-electronic-arts-ea-4105141923?position=6&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=RNZ8iyMAqruDJ1Yk4qOdJA%3D%3D"
"Assoc. Insights and Analytics Analyst","Nintendo","Redmond, WA","1 week ago","https://www.linkedin.com/jobs/view/assoc-insights-and-analytics-analyst-at-nintendo-4098740849?position=7&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=7AvEFTTJrjDvjINZt2HdgA%3D%3D"
"Senior Data Analyst","DHL Supply Chain","Columbus, Ohio Metropolitan Area","3 weeks ago","https://www.linkedin.com/jobs/view/senior-data-analyst-at-dhl-supply-chain-4108480450?position=8&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=nPRiSvNFyNjFfLu9AszY%2Bw%3D%3D"
"Data Analyst","ThirdLove","San Francisco, CA","1 week ago","https://www.linkedin.com/jobs/view/data-analyst-at-thirdlove-4099359251?position=9&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=9BpSW7g%2BHLYXYOyLSXhHvQ%3D%3D"
"SQL Data Analyst (Customer Success)","Eventbrite","United States","1 week ago","https://www.linkedin.com/jobs/view/sql-data-analyst-customer-success-at-eventbrite-4108484708?position=10&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=qcX%2BH%2Bgv5owtCX0Kz4Zx9g%3D%3D"
