Title,Company,Location
Data Scientist,Duolingo,"New York, NY"
"Data Scientist, Trust & Safety",Bumble Inc.,"New York, United States"
"Data Scientist Intern, Product Analytics",Meta,"New York, NY"
"Data Scientist, Product Analytics",Meta,"New York, NY"
Data Scientist,Fractal,San Francisco Bay Area
Data Scientist (Slack),Slack,"Atlanta, GA"
Data Scientist,Fractal,"Redwood City, CA"
Data Scientist,Fractal,San Francisco Bay Area
Data Scientist 1,PayPal,"San Jose, CA"
Data Scientist,Zest AI,United States
Data Scientist 1,PayPal,"New York, NY"
Data Scientist,Ascendion,"Bellevue, WA"
Data Scientist II,Oscar Health,United States
"Data Scientist, Product Analytics",Meta,"New York, NY"
Data Scientist,Fractal,"Cupertino, CA"
"Data Scientist II, Consumer",Gopuff,United States
Data Scientist,Coforge,"Oaks, PA"
Data Scientist,murmuration,United States
"Data Scientist, Product Analytics",Peloton Interactive,"New York, NY"
Data Scientist,Alignment Health,United States
Data Scientist,Little Caesars Pizza,Detroit Metropolitan Area
Data Scientist,Alignment Health,United States
Junior Data Scientist - REMOTE,ACLED,United States
Data Scientist - Healthcare,Fractal,United States
Jr. Data Scientist,Center for Sustainable Energy (CSE),United States
Junior AI/ML Software Developer,"Paradyme, Inc.","Redwood City, CA"
Data Scientist,Duolingo,"Pittsburgh, PA"
"Data Scientist, Search Discovery, Research, Search Notifications",Google,"Mountain View, CA"
"Data Scientist, Research, Responsible AI, Trust and Safety",Google,"Washington, DC"
Data Scientist,RICEFW Technologies Inc,"South San Francisco, CA"
Data Scientist,Gonzaba Medical Group,"San Antonio, TX"
Data Scientist,Ascendion,"Seattle, WA"
"Data Scientist, Algorithms - Pricing",Lyft,"New York, NY"
Data Scientist,Next Ventures,Atlanta Metropolitan Area
"Machine Learning Engineer, Gen AI",Tecton,"San Francisco, CA"
"Staff Data Scientist, Member Insights",SoFi,"San Francisco, CA"
"Staff Data Scientist, Member Insights",SoFi,"Seattle, WA"
Machine Learning Engineer,Arthur,"New York, NY"
Data Scientist,Numero Data,"Virginia, United States"
Data Scientist,PearlX,"Philadelphia, PA"
Machine Learning Engineer - MLOps Team,Aura Intelligence,"San Francisco, CA"
Data Scientist - Analytics,Twitch,"San Francisco, CA"
"Machine Learning Engineer, Gen AI",Tecton,San Francisco Bay Area
Machine Learning Engineer,Vallum Associates,"Brooklyn, NY"
Machine Learning Engineer - MLOps Team,Aura Intelligence,"New York, NY"
ML Research Scientist,Weave Robotics,"San Francisco, CA"
"Data Scientist, Product Analytics",Meta,"Menlo Park, CA"
Data Scientist (Clinical/Epidemiological Data),Life Science People,"San Diego, CA"
"Data Scientist, Product Analytics",Meta,"San Francisco, CA"
Data Scientist,Dun & Bradstreet,"Florham Park, NJ"
Data Scientist Intern,Brewer Science,"Rolla, MO"
Research Scientist,Brio Group,"Durham, NC"
"Data Scientist, Product Analytics",Meta,"Seattle, WA"
"AI/ML Data Scientist II- Remote, USA",Ambry Genetics,United States
Data Scientist,Raptive,United States
Data Scientist,Spot Pet Insurance,"Miami, FL"
Machine Learning Engineer,Tech Mahindra,"Austin, Texas Metropolitan Area"
"Data Scientist, Product Analytics",Meta,"San Francisco, CA"
Data Scientist,Harbor Health,"Texas, United States"
